Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes
Luca Koleosho,0,0.04,0,4,1,0.0,1,1,1,0,0.0,0,0,23,95.83,1
Lucas Ahijado,0,0.92,2,10,8,0.0,38,11,26,0,3.0,1,1,250,78.13,5
Lucas Beltrán,1,2.67,5,15,26,3.85,16,4,10,0,1.0,4,2,224,77.24,11
Lucas Bergström,0,,0,0,0,0.0,0,0,16,0,0.0,0,0,78,53.79,0
Lucas Boyé,5,5.1,7,26,39,12.82,24,5,9,0,3.0,3,1,209,74.38,18
Lucas Cepeda,0,0.43,1,1,5,0.0,3,0,0,0,0.0,0,0,39,81.25,2
Lucas Torró,0,1.07,1,6,17,0.0,22,18,36,0,3.0,1,1,520,74.93,10
Lucien Agoumé,1,0.69,0,7,11,9.09,36,26,25,1,4.0,5,2,678,81.69,19
Luis Milla,0,0.72,0,15,17,0.0,30,23,30,0,5.0,11,8,712,78.94,53
Luis Rioja,2,1.55,0,21,29,6.9,20,11,20,0,0.0,4,3,390,77.69,23
